--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;12/03/1961;1200;23.1;20.9;82;923.1;0;0;10;
83781;12/03/1961;1800;28.1;22.8;62;921.4;0;0;10;
83781;13/03/1961;0000;21;19.8;89;923.6;5;1;8;
83781;13/03/1961;1200;23.4;20.5;77;922.6;32;2.6;10;
83781;13/03/1961;1800;29;22;54;919.8;32;10.3;3;
83781;14/03/1961;0000;21.8;19.8;83;923;0;0;8;
83781;14/03/1961;1200;22.8;20.4;81;923.9;32;2.6;8;
83781;14/03/1961;1800;28.1;23;64;921.9;27;5.1;8;
83781;15/03/1961;0000;20.3;19.8;95;925.4;5;2.6;10;
83781;15/03/1961;1200;21.3;20.5;93;925.6;0;0;10;
83781;15/03/1961;1800;27.5;22.9;67;922;32;5.1;8;
83781;16/03/1961;0000;20.6;19.8;93;924.2;0;0;10;
83781;16/03/1961;1200;24.2;21.2;77;922.8;0;0;7;
83781;16/03/1961;1800;28.7;22.2;55;920.4;32;7.7;6;
83781;17/03/1961;0000;23.8;21.5;83;923.1;0;0;9;
83781;17/03/1961;1200;24;21.6;81;924;36;4.1;10;
83781;17/03/1961;1800;27.1;22.2;64;921.8;32;5.1;8;
83781;18/03/1961;0000;20.2;19.5;93;924.7;32;2.1;10;
83781;18/03/1961;1200;21.1;20.3;92;926.2;23;2.6;10;
