--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;05/03/1961;0000;25.6;23.2;81;1009.2;0;0;6;
83743;05/03/1961;1200;26.3;24.1;83;1009.1;0;0;4;
83743;05/03/1961;1800;27.4;24;74;1006.7;14;6;2;
83743;06/03/1961;0000;26;23.4;79;1010;5;1;10;
83743;06/03/1961;1200;24;21.2;77;1013;32;1;10;
83743;06/03/1961;1800;26.8;22.8;69;1010.6;5;1.7;9;
83743;07/03/1961;0000;25;23.4;87;1012;36;2;10;
83743;07/03/1961;1200;24.5;22.5;83;1011.1;0;0;10;
83743;07/03/1961;1800;24.3;22.9;88;1009;0;0;10;
83743;08/03/1961;0000;23.8;23.3;96;1009.1;0;0;10;
83743;08/03/1961;1200;24.6;22.7;85;1008.7;0;0;10;
83743;08/03/1961;1800;30.5;24.2;57;1005.1;0;0;10;
83743;09/03/1961;0000;27.5;23.8;72;1007.4;0;0;10;
83743;09/03/1961;1200;26;23.7;82;1008.7;5;1.6;4;
83743;09/03/1961;1800;28.5;24.4;70;1007.9;14;8.8;4;
83743;10/03/1961;0000;26.4;23.8;79;1011.4;0;0;2;
83743;10/03/1961;1200;26.5;23.8;78;1013.1;0;0;3;
83743;10/03/1961;1800;27.4;24.4;77;1010;9;7;3;
83743;11/03/1961;0000;26;24.1;85;1011.2;9;5;9;
83743;11/03/1961;1200;27.1;24.6;81;1011.1;0;0;5;
83743;11/03/1961;1800;28.5;25.3;76;1006.8;14;5;2;
83743;12/03/1961;0000;26.6;25;87;1008.4;14;3;3;
